Year,State,% Good Days,% Moderate Days,% Unhealthy for Sensitive Groups Days,% Unhealthy Days,% Very Unhealthy Days,% Hazardous Days,% Ozone Days,% PM2.5 Days,90th Percentile AQI,Median AQI
2014,New Mexico,0.81049,0.18434,0.00372,0.00081,0.00048,0.00016,0.54598,0.41111,52.47059,35.29412
2014,New York,0.78757,0.20987,0.00237,0.00019,0.0,0.0,0.62154,0.35755,53.93103,38.41379
2014,North Carolina,0.66636,0.33241,0.00123,0.0,0.0,0.0,0.49537,0.50384,59.82609,44.5
2014,North Dakota,0.87986,0.11768,0.00215,0.0,0.00032,0.0,0.69726,0.27924,51.33333,36.33333
2014,Ohio,0.63718,0.35586,0.00689,7e-05,0.0,0.0,0.48285,0.4591,63.05263,44.52632
2014,Oklahoma,0.71059,0.28572,0.00356,0.00012,0.0,0.0,0.61558,0.31722,60.77273,41.63636
2014,Oregon,0.74252,0.24711,0.0078,0.00257,0.0,0.0,0.13356,0.86478,62.78261,34.08696
2014,Pennsylvania,0.57852,0.41354,0.00765,0.00029,0.0,0.0,0.50095,0.48952,63.55263,47.23684
2014,Puerto Rico,0.93859,0.06116,0.0,0.0,0.00025,0.0,0.12376,0.37322,40.08333,19.5
2014,Rhode Island,0.78247,0.21478,0.00274,0.0,0.0,0.0,0.52812,0.45818,54.33333,40.33333
2014,South Carolina,0.71361,0.28585,0.00038,0.00016,0.0,0.0,0.5426,0.39191,55.63158,42.10526
2014,South Dakota,0.83933,0.15975,0.00092,0.0,0.0,0.0,0.485,0.3919,53.66667,36.33333
2014,Tennessee,0.68523,0.3132,0.00157,0.0,0.0,0.0,0.48465,0.45899,59.5,42.83333
2014,Texas,0.66976,0.32358,0.00622,0.00045,0.0,0.0,0.4746,0.51717,61.67442,42.53488
2014,Utah,0.73127,0.2532,0.01425,0.00128,0.0,0.0,0.70957,0.24733,62.86667,42.86667
2014,Vermont,0.78294,0.215,0.00205,0.0,0.0,0.0,0.27859,0.69812,57.25,33.75
2014,Virgin Islands,0.64014,0.35986,0.0,0.0,0.0,0.0,0.0,0.7234,62.0,40.5
2014,Virginia,0.82462,0.17437,0.00093,8e-05,0.0,0.0,0.43122,0.30219,48.77143,34.45714
2014,Washington,0.78565,0.20923,0.00435,0.00077,0.0,0.0,0.08066,0.89846,57.55172,31.58621
2014,West Virginia,0.74322,0.25608,0.00069,0.0,0.0,0.0,0.46856,0.44956,57.2,39.06667
2014,Wisconsin,0.74806,0.24223,0.00972,0.0,0.0,0.0,0.66473,0.33422,60.80769,41.07692
2014,Wyoming,0.85959,0.13897,0.00115,0.00029,0.0,0.0,0.62877,0.20453,50.68421,35.89474
2015,Alabama,0.61272,0.38361,0.00322,0.00046,0.0,0.0,0.36801,0.62254,60.38889,44.94444
2015,Alaska,0.81099,0.16366,0.01027,0.01301,0.00205,0.0,0.20135,0.76895,57.375,26.625
2015,Arizona,0.69118,0.2852,0.02066,0.00063,0.00021,0.00211,0.56089,0.18924,67.15385,41.38462
2015,Arkansas,0.71166,0.28784,0.0005,0.0,0.0,0.0,0.40578,0.588,58.45455,41.27273
2015,California,0.47724,0.44101,0.06575,0.01443,0.00071,0.00086,0.4906,0.46846,86.09259,52.64815
2015,Colorado,0.78861,0.20131,0.00945,0.00044,0.00018,0.0,0.61935,0.13372,55.54839,36.09677
2015,Connecticut,0.66339,0.29819,0.03499,0.00343,0.0,0.0,0.62655,0.36489,71.875,44.5
2015,Country Of Mexico,0.14286,0.60714,0.17857,0.07143,0.0,0.0,0.0,0.0,141.0,73.0
2015,Delaware,0.58995,0.39817,0.01096,0.00091,0.0,0.0,0.54703,0.4484,71.66667,47.0
2015,District Of Columbia,0.38356,0.60274,0.0137,0.0,0.0,0.0,0.26027,0.71233,76.0,53.0
2015,Florida,0.78285,0.21673,0.00042,0.0,0.0,0.0,0.49124,0.47601,53.12821,38.84615
2015,Georgia,0.64142,0.35531,0.00281,0.00034,0.00011,0.0,0.32218,0.66572,58.96875,44.25
2015,Hawaii,0.65472,0.34528,0.0,0.0,0.0,0.0,0.06986,0.84936,56.0,38.0
2015,Idaho,0.76861,0.20599,0.01677,0.00672,0.00173,0.00018,0.07766,0.88354,59.5,30.9
2015,Illinois,0.72394,0.2728,0.00302,0.00024,0.0,0.0,0.67508,0.31718,59.56522,42.0
2015,Indiana,0.65114,0.3444,0.00404,0.00042,0.0,0.0,0.50274,0.48957,61.94872,44.76923
2015,Iowa,0.64346,0.35485,0.0014,0.00029,0.0,0.0,0.28104,0.65052,58.94737,43.68421
2015,Kansas,0.82848,0.17027,0.00125,0.0,0.0,0.0,0.55943,0.23907,52.18182,33.72727
2015,Kentucky,0.73219,0.2622,0.00522,0.00039,0.0,0.0,0.61943,0.37091,58.35714,42.60714
2015,Louisiana,0.68581,0.30919,0.00463,0.00037,0.0,0.0,0.47166,0.52161,59.22727,41.5
2015,Maine,0.8216,0.17585,0.00255,0.0,0.0,0.0,0.60877,0.38555,52.25,36.75
2015,Maryland,0.60002,0.38896,0.0105,0.00052,0.0,0.0,0.55756,0.40881,69.875,46.875
2015,Massachusetts,0.72648,0.26773,0.00558,0.00021,0.0,0.0,0.54027,0.44812,58.46154,40.07692
2015,Michigan,0.70988,0.28089,0.00878,0.00045,0.0,0.0,0.55028,0.44756,61.89286,42.03571
2015,Minnesota,0.80854,0.18853,0.00279,0.00013,0.0,0.0,0.36911,0.60363,53.95238,36.09524
2015,Mississippi,0.75734,0.24216,0.0005,0.0,0.0,0.0,0.51712,0.4621,55.09091,40.18182
2015,Missouri,0.71739,0.27852,0.00383,0.00026,0.0,0.0,0.57275,0.38051,60.0,42.42857
2015,Montana,0.76967,0.20255,0.01454,0.01205,0.00118,0.0,0.22816,0.69798,59.26316,32.94737
2015,Nebraska,0.83694,0.16231,0.00076,0.0,0.0,0.0,0.17866,0.63828,49.54545,30.72727
2015,Nevada,0.70288,0.28029,0.01551,0.00132,0.0,0.0,0.56429,0.24549,65.66667,41.66667
2015,New Hampshire,0.77974,0.21509,0.00479,0.00039,0.0,0.0,0.67554,0.32446,56.0,40.28571
2015,New Jersey,0.68291,0.29692,0.01938,0.00078,0.0,0.0,0.59839,0.31952,68.6875,42.375
2015,New Mexico,0.82241,0.17433,0.00291,0.00034,0.0,0.0,0.49031,0.42936,50.3125,32.125
2015,New York,0.76275,0.22974,0.0075,0.0,0.0,0.0,0.62397,0.35189,57.10345,38.96552
2015,North Carolina,0.7053,0.29323,0.00147,0.0,0.0,0.0,0.52754,0.47159,59.79545,43.18182
2015,North Dakota,0.82229,0.16098,0.01261,0.00412,0.0,0.0,0.58796,0.28954,54.3,35.5
2015,Ohio,0.67127,0.32053,0.00813,7e-05,0.0,0.0,0.4932,0.43618,63.76923,42.69231
2015,Oklahoma,0.77003,0.22855,0.00127,0.00015,0.0,0.0,0.56769,0.32764,55.21739,38.6087
2015,Oregon,0.72134,0.25821,0.0135,0.00648,0.00036,0.00012,0.14643,0.84976,64.95652,35.3913
2015,Pennsylvania,0.56962,0.41807,0.01187,0.00044,0.0,0.0,0.51373,0.4779,68.13514,46.97297
2015,Puerto Rico,0.90262,0.09673,0.00065,0.0,0.0,0.0,0.18515,0.37214,46.4,22.0
2015,Rhode Island,0.66599,0.32018,0.01107,0.00276,0.0,0.0,0.42231,0.54751,62.66667,44.66667
2015,South Carolina,0.79421,0.20518,0.00061,0.0,0.0,0.0,0.61298,0.32717,53.05263,39.26316
2015,South Dakota,0.77866,0.21666,0.0044,0.00028,0.0,0.0,0.38492,0.56236,55.3,38.2
2015,Tennessee,0.72426,0.27418,0.00156,0.0,0.0,0.0,0.46417,0.47513,57.875,41.20833
2015,Texas,0.68354,0.30027,0.01412,0.00201,7e-05,0.0,0.52053,0.47258,64.80488,41.60976
2015,Utah,0.70905,0.27399,0.01618,0.00078,0.0,0.0,0.69806,0.2754,66.42857,41.92857
2015,Vermont,0.76794,0.23001,0.00205,0.0,0.0,0.0,0.3,0.67603,57.0,34.0
2015,Virgin Islands,0.57291,0.42709,0.0,0.0,0.0,0.0,0.0,0.77632,70.0,43.0
2015,Virginia,0.82235,0.17623,0.00142,0.0,0.0,0.0,0.44362,0.31762,50.22857,34.82857
2015,Washington,0.75215,0.23403,0.01019,0.00287,9e-05,0.00067,0.10223,0.88817,60.13793,33.7931
2015,West Virginia,0.73062,0.26612,0.00308,0.00019,0.0,0.0,0.4835,0.4327,59.86667,39.53333
2015,Wisconsin,0.78954,0.20332,0.00685,0.00029,0.0,0.0,0.70802,0.29117,59.40741,39.74074
2015,Wyoming,0.85028,0.14621,0.00294,0.00058,0.0,0.0,0.62968,0.20773,53.10526,35.89474
2017,Alabama,0.68621,0.31121,0.00226,0.00015,0.00016,0.0,0.44417,0.54624,58.33333,42.88889
2017,Alaska,0.85679,0.12285,0.01214,0.00822,0.0,0.0,0.2489,0.68963,53.71429,25.42857
2017,Arizona,0.61556,0.34895,0.03148,0.00337,0.00042,0.00021,0.55435,0.18484,70.76923,45.30769
2017,Arkansas,0.64577,0.35373,0.0005,0.0,0.0,0.0,0.31517,0.68359,57.18182,44.09091
2017,California,0.47571,0.43214,0.06846,0.01897,0.00305,0.00167,0.49147,0.46328,89.84906,52.56604
2017,Colorado,0.75907,0.23092,0.00976,0.00026,0.0,0.0,0.60106,0.17855,58.21875,37.4375
2017,Connecticut,0.7723,0.20551,0.01813,0.00406,0.0,0.0,0.69147,0.28456,59.125,40.625
2017,Country Of Mexico,0.50113,0.38857,0.07567,0.03047,0.00277,0.00139,0.5,0.45152,92.5,52.0
2017,Delaware,0.64377,0.34526,0.01097,0.0,0.0,0.0,0.51004,0.48905,63.66667,45.33333
